,username,text
0,AsemanTalai,مرحله بهره‌برداری 😂😂😂 https://t.co/x2WCCFIYsW
1,alirezahy76,کی میگه عکس صدا نداره 😂 https://t.co/yMoVVZtLAs
2,ferferiofski,"آخه مگه میشه؟!!
نگاهش تو دوربین عالیه😂😂
۵ بار نگاه کردم و هی خندیدم! https://t.co/KppwGxTy45"
3,Meowhita,این منم😂😂😂 https://t.co/dA2FCltsMX
4,rezaei_delaram,من اینجوریم که دوس پسر میخوام ولی اگه اونم منو بخواد فرار می کنم. به خدا. والا هرکی منو بخواد یه مشکل روانی ریزی داره. خطرناکه خو. 😂
5,soma_ghd,تمام بعد یک جلسه خیلی مهم به این نتیجه رسیدم همون آواتارم قشنگه عوض نمیکنم🥲😂
6,mlhobbyist,می دونستید فقط یک درصد جمعیت دنیا blue whale رو از نزدیک دیدن؟ و می دونستید که شما الان دارید توییت یکی از این یه درصدی ها رو می خونید؟😂😂. Blue whale فقط کونش رو دیدیم، نشد فیلم بگیریم ولی این فیلم humpback whale کنار قایق ما. https://t.co/CsshE0lTDU
7,HaNIRma_4,"فلسفه‌ی جغد بودن من چیه؟!
واقعا چرا من شبا بیدارم و روزها خوابم میاد؟!
🦦😂"
8,Amirowski04,تا حالا 4صب تو قبرستون نبودم خیلی باحاله😂
9,lmvrivml,عکسای عقدو گرفتیم تووو همشون دهنم بازه دارم با اهنگ میخونم😂😂😂😂😂
10,Mmnaimian,من مهاجرت نکردم گفتم بابام تنها می مونه، الان اون داره مهاجرت می کنه 😂😅
11,siamakrjb,"خیلی زیباست که روز تاسوعا و راهپیمایی رنگین کمونیا توی یه روز افتاده! 😅😂
خیلی دوست دارم دو تا دسته به هم برخورد کنن بیینم چی میشه 🤣"
12,hagh_goie,"حالا همه باهم دختر آبادانی بی قراره
عاشق و شد و خبر نداااررهه
هوووو ها ماشالللااا
😔😂"
13,bozekooohi,من مردمم😂😂😂😂 https://t.co/VUaPXHYqZq
14,1mhmdreza1,آقا هرکی بیداره بیاد پی وی یا حالا دایرکت هر کوففتتیی 😔😂رد دادم 😔😂 https://t.co/p2VRe0WfiR
15,Hamirezapahlavi,"پایدار تا پای دار👌🏼
داداشیا😂 https://t.co/9Y5Hh80N9n"
16,asrarbt,هر جایی هست ی لواط مرامی بهم بدهکاره 😂 https://t.co/6zqZZgy9F8
17,shawguli,"من وقتی یه کوچولو ناراحت میشم: 
😂😂😂 https://t.co/YtIgpa8pgk"
18,Smrh1372,من رفته بودم مراسم عاشورا دنبال حیدر و حسین و عباس بعد فالورای عزیزم فک میکردن رفتم واسه عزاداری😂😂😂
19,llsahrasll,بهترین ادیت سال توییتر 😂 https://t.co/MKPcMEXWmv
20,aarmeloo,"این چندوقته همش دو شیفت سرکار بودم
اونروز همکارم میگه خانم فلانی تو چرا نمیری خونتون😂😂"
21,3personplayer,مشکل اینه نه میدونم چی میخوام نه رفیقم 😂😂😂 یبار همدان یبار اصفهان یبار تبریز ارومیه یبار شیراز بعد یهو میزنه لاین خارج کشور بعد مشهد
22,emilyc00per1,"یارو تو سریال افیس برا کارمندش تولد گرفته یه جمله به مناسبت تولدش میگه 
فلانی اینقد پیره که رفته مغازه عتیقه فروشی و نگهش داشتن😂😂😂💔"
23,Sara_n_z_a,رطوبت در عرض ۵ دقیقه با موهام کاری کرد که وقتی رسیدم باید بهشون توضیح بدم من انقدر که الان میبینید زشت نیستم 😂
24,marde_ba_rani,"نصف شبتون بخیر 😂💜

@BTS_twt"
25,SaeidYazdi26,رفیق ملوانم رفته روسیه 😂 https://t.co/Cak2hbGmvs
26,llaa27november,"آخونده میره توی خونه مصادره ای که استخرداشته،یه روز زنش کنار استخر لخت میخوابه حموم آفتاب بگیره،آخونده برای اینکه ماسماسکِ حاج خانم پیدانباشه عمامه اش رو میذاره فلانجاش!
عروسش وقتی نگاش به زنه میفته شوهرشو صدا میزنه و میگه""خره بیا ببین بابات تاکجا رفته فقط عمامه اش بیرونه""😂😂😂"
27,toni05992152,ئەی ئەمن ناشرینیشم بەس ھەر نیمە😂🤷🏻‍♀️ https://t.co/qNUdrd8QEz
28,sssarhangamss,هعععی دوران ما تو مراسمات سیگار میدادن😂😂😂 https://t.co/8OHS3VYg6n
29,mhdi_mrz,"ینی خاک بر سر من با این بختِ گَندم😂
امشب دوتا از اکسام پشت سرهم بهم زنگ میزدن بعد من سرشون داد میزدم حوصلشونو نداشتم میگفتم زنگ نزنید بعد هردوتا گفتن وا قبلنا صدات خیلی خوب بود الان چقد صدات بد شده خندم گرفته از حرص😂😂😂"
30,lellahka,داره عربی حرف میزنه تو اسپیس شیخ ممد داره ترجمه میکنه😂😂😂
31,HussainalikhanP,"یکی ع بچه ها به این میگفت رنده😂
@alimp__ مگه نَ؟ https://t.co/NJocmLY51n"
32,to_lacerate,"امروز اینجوری بودم که ساعت ۱۱ میگفتم اگه بدون خسارت جانی/مالی به خونه برسم امروز خیلیی روز لجندری ای میشه😂
متاسفانه ۱۲ ۱۳ نفرو خیلی اذیت کردم ولی واقعااا جالب بود
امشب از ساعت ۱۱ تا ۳ هیچ قسمتیش برام قابل پیشبینی نبودد😂"
33,_llmsihll_,"اشرف غنی کا پالتو کتا.....سلیم کتا سلیم کتا,😂😂😂😂
#شیطان_صافی https://t.co/L527DzRV0J"
34,amiii102030,می خواستم بگم توییت بدید ریت بزنم دیدم توییتای خودم ۴ تا لایک میگیره 😂😂😂
35,fesghelie_kftar,"چرا نصف شب دلم رفیق جدید خواست
از اینایی که ببرم راه اهن کوبیده با نون نوشابه بخوریم تهشم یه سیگار مشتی 👀😂
🧠🌙🫀 https://t.co/qErOpLMIh1"
36,EhsanDelkhosh,"انقد بدم مياد بعضيا واسه بار اول باهاشون چت ميكنم و ب كصشرايى كه تعريف ميكنن تظاهر به خنديدن ميكنم و ميگن چرا ميخندى فقط 
خو كصمغز لابد حال نميكنم باهات ديگه وگرنه منم تو بحثت شركت ميكردم خودت سيكتير كن :)))😂😂😂"
37,callmehedie,"یبار رو یکی از بچه های توییتر کراش زده بودم 
انقد ناشناسش پیام دادم که اخرش لینک ناشناسشو برداشت 😂😂😭😭😭💔"
38,soroushmp1,"آقا من و رفیقم داشتیم صحبت میکردیم درباره یهو بهم گفت که سر فلان چیز من خالی بستم برات من خندم گرفت گفت چرا میخندی گفتم چون منم دقیقا همون موضوع رو که بهت گفتم خالی بستم یهو ترکیدیم😂 
از خالی بندیاتون برای رفیقاتون بگین...🧑‍🦯"
39,Sad814258971,"ختم و چهلم و سال داییم:)))
فقط اونجاش که عکس میدادم دوستام، میگفتم اگه عروسیم اینجوری نباشه چی؟😂😂 https://t.co/oQqzsJ2ieG"
40,Imawlina808,"من ولی یبسم😂😂
تا صبح خودتو جر بدی تهش بگم نکن رو مخمه😂😂 https://t.co/QEMulXmZC2"
41,sweetaiida,"از قشنگیای رفاقت همین که من و دوستم همزمان اینستا و واتس اپ درباره دو موضوع کاملا متفاوت صحبت میکنیم....
تازه وقتم کم میاریم😂😂"
42,ha3hemizadeh,"فیو خوردن خیلی باحاله
ولی راستشو بخواید من هنوز نمیدونم هست یا نه چون نخوردم😂"
43,SetiyaJb,به لیلی می‌گم ولی این پسره که روم کراش داره زیادی خوشگله دیگه، در این حد خوشگل خوشم نمیاد :)) 😂🚶🏻‍♀️🚶🏻‍♀️
44,mohiva_m,امشب باید سلامتی خورشید بخوریم تا طلوع نکنه 😂
45,Sol_Do_,"بیاین از دلایل لینک ناشناس گذاشتن توی توییترتون بگین😅
باشد که قانع شوم و منم بذارم😂"
46,cometiee1,"دوستان من فقط تنبلیم میاد همین
🦦😂 https://t.co/cckEko4j0d"
47,sajadajadjadadd,"من هرچی فکر میکنم رابطه حزب کمونیست کارگری رو با LGBT ها نمیفهمم!!
یعنی کمونیست ها کونی بودن؟ 😂😂 https://t.co/Kw47IdyzRK"
48,ooctaveeee,خیلی حال این دوتارو خریدارم 😂 https://t.co/RaV9G9qCYV
49,BABIL_CATALAN,"بهترین نکته مسافرت این بود که همه بخش های پنهان امیرعلیو دیدیدم:
امیرعلی سگ‌مست
امیرعلی هنگ‌اور
امیرعلی پیشی
امیرعلی کانگورو
و در اخرین شاهکار: امیرعلی اسهال
به امید پلن‌های بعدی و کشف ابعاد دیگه امیرعلی😂"
50,nedaa998,"امروز  با بابام بودم تو ماشین اهنگ گذاشتم  یهو ویسش پلی شد ؛ فکر کر‌دم چیز بدی میگه 
ولی نیشش باز شد گفت نه خوشم اومد افرین افرین 😂😂😂سلیقت خوبه https://t.co/OxHsgZA4RZ"
51,callmewolfiee,"تصمیم گرفتم بارسا رو بخرم
آرژانتین رو نزدیک جام جهانی ک شدیم میگیرم😂🤝🏻 https://t.co/eR09lpaUDe"
52,FRDYMorcheSiah,از اونی که تو هیئت آشنا شدید چخبر😂
53,HShaabani,رفتم سوپر مارکت میخواستم به یارو بگم شما همیشه تا تا این ساعت بازین گفتم شما همیشه تا این موقعه بیدارین😂🔪
54,llsajeell,"🔴جنابِ جَک‌دورسی و رفقایِ گلوبالیست ؛
لطفا به این دستشویی‌هایِ بینِ راهی‌تون یکم رسیدگی کنین

اومدم این توییت رو لایک کنم ،
دیدم تعداد لایکهاش ۲۰ تا هست ،
تا لایکش کردم شُد ۱۹ تا !!
😂 https://t.co/TLdyZrLM3Y"
55,flowerorkydee,خدا قسمت کنه 😂 https://t.co/IoX6zbcwsv
56,M_zeighami,ورود من به توييتر با خودمه برگشتم با خدا😂😂😂
57,Yegi_H,فردا نذری آبگوشت میدیم 😂
58,mr_mobinm,😂 سیر نمیشم ازش https://t.co/IJ1BYfdJab
59,itsabout_artmis,"ماشین حسابو هنوز استارت نزدم
بعد شما فک کن من ساعت ۱۵ چنین چیزی به @AliMuhamadiii گفتم🫤😂
#cs_internship #web #step3 https://t.co/AHNcCsqj7t"
60,jjrhastam,قیافه خود زین چه موده😂😭 https://t.co/depPwKC8a8
61,zohasl,سندروم پروفایل بی قرار تویتر گرفتم.😂
62,Vardian92100887,بیچاره اونی که الان فکر میکنه قراره با “تو”خوشحال باشه.😂
63,navid_znd,اگه فردا قبل ۱۲ استارت کارامو نزنم ……….😟😂
64,RhmyAli,توروخدا هرکی اکسمه جایی نگه یه زمانی با من بوده😂🙂🙂
65,reyhanebahari,"اینا همونایین که میخواستن سرشو بزنن 😂😂

فقط یک گروه از جغرافیای محدود و‌ کوچک غزه ، دمار از روزگار خوک‌های صهیون در اورده 

تازه نه از پهباد استفاده شد نه موشک های کاربردی 

حزب الله لبنان ، یمن ، عراق و سوریه و ایران و بقیه محور مقاومت جای خود

چطور ایرانو‌ تهدید میکنن😂😂 https://t.co/T0489pc8m5"
66,kabulii,ولی با موتور جوابه ها! ترک موتور دوستم صد دور تو اندرزگو بالا پایین کردیم😁😂
67,aliamnkhani,یکجوری در خونمون طبل میزنن انگار تقصیر ما بوده😂😂
68,GHAZALenix,این بره آواتار یا بزارم کیت بارسا بیاد بعد عکس خودم بره آواتار؟😂 https://t.co/UCrJAeqEv2
69,Qamarolmolouk,عکس پروفایل اینستای من اینجوریه که انگار صاحب این اکانت یه بچه ۲ سالس😂😂
70,Silvermoon12716,حوصله ندارم برم‌ارایشمو پاک کنم بخوابم😑😂 https://t.co/B5rwXDvVq9
71,thedementorrrr,"😂🤣😂 طالبان در بادغیس در واکنش به حمله‌ی امریکا بر ایمن الظواهری در کابل، از کشورهای اسلامی خواستند که روابط‌ شان با امریکا را قطع کنند.
https://t.co/1FUr6Z6add"
72,Zohaasp,بيدارا دوباره حاظري بزنن😂
73,sharliiz,ببین واقعن طنز مردم ایران&gt;&gt;&gt;&gt;😂😂😂😂😂😂😂😂😂😂 https://t.co/L6xGRlVsuF
74,theahmadp,چرا واقعا😂 https://t.co/w5d5zYsBH2
75,freeforwhat_,"پشماااام
تاپ ۳؟؟؟؟؟ 
بیلبورددد کطبتمظمبظمبظتظبزبزظ
اونایی که میگفتن ایتیز فلاپه کجان😂

ATEEZ BB200 TOP 3

#ATEEZonBILLBOARD200
@ATEEZofficial 
#ATEEZ #에이티즈 #MOVEMENT"
76,aylinmqd,"ینی فک کن کف پاریس داری راه میری حرف میزنی ،
یهو یکی برمیگرده میگه عههه دادا بِچه کوجا اصفهانی؟
لعنتیا اینجام هستین؟😂😂😑"
77,jafari56,چرا اين بچه انقد بامزه دعوا ميكنه😂😂
78,PariyaTalaei,"یک سوتی دادم که خودمم از خودم خجالت کشیدم بابتش😂😂😂.
پشه رو روی صفحه گوشیم کشتم خواستم شات بگیرم توییت کنم بالاخره کشتمش یادم اومد نه پشه اینور صفحست نمیشه شات گرفت😂😂😂.
چرا همچی کاری میخواستم بکنم؟
🤣🤣"
79,mooshegh21,چرا بهمون میگفتن ظهر عاشورا نخواب گناهه🤔🤦🏻‍♀️چرا با احساسات پاک ما بازی میکردن آخه😂😂😂😂
80,iSegaro,ی جوری از صداقت و وفاداری حرف میزنید  کسی ندونه فکر میکنه سگید  😂
81,zhramtin,"همسایه پیام داد بیا برات نزری اوردم
، ساعت سه و نیم صب یه کاسه حلیم داغ گذاشت کف دستم 😂😂"
82,Ali17638068,ببخشيد كه بودنم باعث ميشه هرروز كونت بسوزه😂
83,taraatkv,"اخه عكس گرفتن با ممتوتى 😂به قول خودش تو عزادارى 
خيلى كار داره ….. ادم بشه"
84,Amirmtiii,چرا تعذیه‌رو استوری میکنین اخههه😂😂😂😂😂😂😂😂😂😂😂
85,PARSA___YN,پاشو‌ برو خدمت کصشر تفت نده😂😂😂
86,kim_vegas7,من برگشتم مرسی از همه که بیادم بودن چه دوستایی توییتری درجه یکی دارم که به دونه دونشون افتخار میکنم ، یه عمل چشم داشتم که خداروشکر موفق بوده و بیناییم برگشته ، یه چیز مهم کشف کردم گفتم بگم ، این بیمارستان چشم افتاب تهران توش نون خارجکی تازه پخت میکنن 😂 پشمام ،ندید بدیدم ببخشید😁 https://t.co/MIiSLpqeV3
87,ralf_kharabkar,اگه به جای خبر کات کردنت خبر نامزدیت برسه چی؟😂
88,estqlaliran,بنظرم خلاقیت ها توی بیکاری نمو پیدا میکنن😂👌 https://t.co/21t351pFYI
89,sainayouseefi,یروز پرت میشم ازین تراس😂
90,Mina64714,"فک کنم خیمه دور میدون فلسطین ب کارخونه لبنیاتی وصله بی پدر هنوز دارن نذری میدن
هنوزم مردم تو صفن
بسه دیگه😂"
91,mehranam2017,وای لحظه ای نمیتونم نفس بکشم،لحظه ای ممیتونم به دیوار مشت نزنم،لحظه ای همسایمون از فکر بد کردن راجبم با شنیدن خنده های جیغیم و صدای کوبیده شدن به دیوار استاپ نمیشه ولی وای😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/5v96ycOn3Y
92,,نشستم به در نگاه میکنم😂😂😂 و عمری که میگذرد😂 https://t.co/EOEItB13EM
93,,"چرا بیدارم؟
تورو سننه قربونت برم؟
بسه بابا هر شب این توییت و میزنین😭😂"
94,,"با همین فرمون پیش بریم تعداد مداحای هر هیئت از زنجیر زناش بیشتر میشه 
انقد همه عشق دارن اون صدای مرمریشون به رخ بکشن 
مثل خودم😂"
95,,یه دوست دختر داشتم تو روزای تاسوعا عاشورا ایموجی بوس نمیفرستاد(😘) انگار من امام حسین رو کشته بودم😐😂
96,,شکمم هر روز گنده تر میشه،چیکار کنم؟😂 https://t.co/T67mF0MPw4
97,,"زن قد بلند شاه زنانه
گلدسته مازندرانه
😂❤😂🥰😁
مادرم امشب اینو برا برادرزاده میخوند😍"
98,,"قبل از که بگی دوست دارم و تصمیم به گفتنش رو بگیری ؛خواهشن از روی تصمیم ۱۰ بار بنویس مقابلش علتش رو هم به خودت توضیح بده ؟
بعداً نیای بگی به ما نمی خورد 🥴🤭🤧😂"
